article_name,page_id,pagerank_score,wikipedia link,birth,death,image_url,description,occupation,field,latitude,longitude
Moses Isserles,1226858,1.1128165277156343e-06,https://en.wikipedia.org/wiki/Moses_Isserles,1520,1572,https://commons.wikimedia.org/wiki/Special:FilePath/Moses Isserles.jpg,Polish rabbi,"['theologian', 'rabbi', 'Posek', 'philosopher']","['Halakha', 'Classic Rabbinic literature']",50.0525,19.94694444
Minamoto no Yoshitsune,226812,1.1127674193453635e-06,https://en.wikipedia.org/wiki/Minamoto_no_Yoshitsune,1159,1189,https://commons.wikimedia.org/wiki/Special:FilePath/Minamoto Yoshitsune.jpg,Samurai of the late Heian and early Kamakura period,"['samurai', 'bushi', 'military personnel']",[],38.864333,140.957889
Max Bruch,155712,1.11259242227726e-06,https://en.wikipedia.org/wiki/Max_Bruch,1838,1920,https://commons.wikimedia.org/wiki/Special:FilePath/Max bruch.jpg,German romantic composer and conductor (1838-1920),"['composer', 'conductor', 'teacher']",[],52.49027778,13.36694444
Jimmy Savile,328242,1.112537198941157e-06,https://en.wikipedia.org/wiki/Jimmy_Savile,1926,2011,https://commons.wikimedia.org/wiki/Special:FilePath/Jimmy Savile 2006.jpg,"English DJ, media personality and sexual abuser (1926–2011)","['disc jockey', 'television presenter', 'radio personality', 'autobiographer', 'association football player', 'professional wrestler', 'sex offender']",[],54.2825,-0.4
Adam Lambert,21501511,1.112465675792419e-06,https://en.wikipedia.org/wiki/Adam_Lambert,1982,,https://commons.wikimedia.org/wiki/Special:FilePath/Queen + Adam Lambert 3 (38835621981).jpg,American singer (born 1982),"['actor', 'singer-songwriter', 'singer', 'stage actor', 'lyricist', 'record producer']",[],39.76861111,-86.15805556
István Széchenyi,436254,1.112459903102241e-06,https://en.wikipedia.org/wiki/István_Széchenyi,1791,1860,https://commons.wikimedia.org/wiki/Special:FilePath/István Széchenyi.jpg,"Hungarian nobleman, writer, politician and national revivalist","['writer', 'politician']",[],47.6,16.7
Frank Church,461925,1.1123002427541252e-06,https://en.wikipedia.org/wiki/Frank_Church,1924,1984,https://commons.wikimedia.org/wiki/Special:FilePath/FrankChurch.jpg,American politician (1924-1984),['politician'],[],38.9848265,-77.0946459
John Esposito,1236708,1.1122831102374518e-06,https://en.wikipedia.org/wiki/John_Esposito,1940,,https://commons.wikimedia.org/wiki/Special:FilePath/John esposito 03102013198.jpg,American professor of Middle Eastern studies (born 1940),"['university teacher', 'writer']",[],40.65083,-73.94972
Lamar Hunt,330264,1.1122480567989329e-06,https://en.wikipedia.org/wiki/Lamar_Hunt,1932,2006,https://commons.wikimedia.org/wiki/Special:FilePath/Lamar Hunt 1974.jpg,American sports executive (1932–2006),"['entrepreneur', 'American football player']",[],32.77916667,-96.80888889
S. W. R. D. Bandaranaike,1388805,1.1122410852222134e-06,https://en.wikipedia.org/wiki/S._W._R._D._Bandaranaike,1899,1959,https://commons.wikimedia.org/wiki/Special:FilePath/Official Photographic Portrait of S.W.R.D.Bandaranayaka (1899-1959).jpg,4th Prime Minister of the Dominion of Ceylon (now Sri Lanka) from 1956-59,"['diplomat', 'politician', 'barrister']",[],6.916666667,79.83333333
Marcin Matkowski,8093228,1.1122254781186083e-06,https://en.wikipedia.org/wiki/Marcin_Matkowski,1981,,"https://commons.wikimedia.org/wiki/Special:FilePath/Marcin Matkowski, Davis Cup Łódź 2012 4.jpg",Polish tennis player,['tennis player'],[],53,15.2
Jose Canseco,175552,1.1120121795662052e-06,https://en.wikipedia.org/wiki/Jose_Canseco,1964,,https://commons.wikimedia.org/wiki/Special:FilePath/Jose Canseco 2009.jpg,Cuban-American baseball player,"['baseball player', 'karateka', 'taekwondo athlete', 'Thai boxer']",[],23.13666667,-82.35888889
George Crook,332304,1.1118901112995705e-06,https://en.wikipedia.org/wiki/George_Crook,1828,1890,https://commons.wikimedia.org/wiki/Special:FilePath/George Crook - Brady-Handy.jpg,United States Army general during American Civil War and Indian Wars,['military officer'],[],38.87916666666667,-77.07222222
Les Murray (poet),3194103,1.1118407322997332e-06,https://en.wikipedia.org/wiki/Les_Murray_(poet),1938,2019,https://commons.wikimedia.org/wiki/Special:FilePath/Lesmurray.jpg,Australian poet and critic (1938-2019),"['poet', 'translator', 'writer', 'literary critic', 'critic', 'anthologist', 'civil servant']",[],-31.915,152.4511111
James Weldon Johnson,209276,1.111760450077869e-06,https://en.wikipedia.org/wiki/James_Weldon_Johnson,1871,1938,https://commons.wikimedia.org/wiki/Special:FilePath/(Portrait of James Weldon Johnson) (LOC) - Flickr - The Library of Congress.jpg,American writer and activist,"['writer', 'poet', 'novelist', 'songwriter', 'composer', 'diplomat', 'lawyer', 'politician', 'jurist']",[],40.65241,-73.99024
Alfred Molina,612068,1.1116764122637894e-06,https://en.wikipedia.org/wiki/Alfred_Molina,1953,,https://commons.wikimedia.org/wiki/Special:FilePath/AlfredMolinaByJustinHoch2009.jpg,British actor,"['film actor', 'stage actor', 'actor', 'film producer', 'television actor']",['video game industry'],51.5172,-0.173
Zayd ibn Ali,430007,1.1116502005638962e-06,https://en.wikipedia.org/wiki/Zayd_ibn_Ali,695,740,https://commons.wikimedia.org/wiki/Special:FilePath/Imam Zaid bin Ali.png,Alid political and religious leader (c.695–740),"['imam', 'theologian', 'Islamic jurist', 'muhaddith', 'mufassir', 'revolutionary']","['fiqh', 'tafsir']",32.03,44.4
Nana Mouskouri,1196068,1.1115870526771684e-06,https://en.wikipedia.org/wiki/Nana_Mouskouri,1934,,https://commons.wikimedia.org/wiki/Special:FilePath/Nana Mouskouri 1966.jpg,Greek singer,"['singer', 'politician', 'songwriter']",[],35.51666667,24.01666667
Gregory Benford,38527,1.1115862604814808e-06,https://en.wikipedia.org/wiki/Gregory_Benford,1941,,https://commons.wikimedia.org/wiki/Special:FilePath/Greg Benford Eaton 2008-05-17.png,Science fiction author and astrophysicist,"['physicist', 'astronomer', 'novelist', 'writer', 'university teacher', 'science fiction writer']",[],30.72766944,-88.05267222
Edward M. House,1336794,1.111529254306174e-06,https://en.wikipedia.org/wiki/Edward_M._House,1858,1938,https://commons.wikimedia.org/wiki/Special:FilePath/E. M. House LCCN2014700618 (cropped).jpg,American diplomat with important role in WW I peace negotiations (1858-1938),"['diplomat', 'politician']",[],29.7656,-95.3852
Jonathan Israel,5407565,1.111498552518262e-06,https://en.wikipedia.org/wiki/Jonathan_Israel,1946,,,British historian,"['cultural historian', 'historian of Modern Age']",[],51.50722222,-0.1275
Harold C. Schonberg,1514519,1.1114586095946965e-06,https://en.wikipedia.org/wiki/Harold_C._Schonberg,1915,2003,,American writer,"['music critic', 'journalist', 'musicologist']",[],40.7,-74
Paul Nash (artist),1079304,1.1113606668370478e-06,https://en.wikipedia.org/wiki/Paul_Nash_(artist),1889,1946,https://commons.wikimedia.org/wiki/Special:FilePath/Paul Nash woodcut CONTEMPORARY BRITISH ARTISTS 1923.png,British surrealist painter and war artist (1889-1946),"['painter', 'illustrator', 'printmaker', 'designer', 'photographer', 'graphic artist']",['art of painting'],50.725,-1.84
Zdeněk Moravec,760444,1.1111797517719174e-06,https://en.wikipedia.org/wiki/Zdeněk_Moravec,1968,,,Czech astronomer,['astronomer'],['astronomy'],50.65916667,14.04166667
Tomáš Masaryk,16728715,1.111148828494398e-06,https://en.wikipedia.org/wiki/Tomáš_Masaryk,1850,1937,https://commons.wikimedia.org/wiki/Special:FilePath/MasarykFotoPrvniPoselstviTGM.jpg,"Czechoslovak politician, statesman, sociologist and philosopher (1850-1937); first Czechoslovak president","['politician', 'philosopher', 'pedagogue', 'writer', 'sociologist', 'university teacher', 'journalist', 'teacher', 'editing staff']","['politics', 'philosophy', 'sociology', 'journalism', 'educational system', 'literature']",50.1294628,13.9520432
Brian Cox (actor),623444,1.1110872563825133e-06,https://en.wikipedia.org/wiki/Brian_Cox_(actor),1946,,https://commons.wikimedia.org/wiki/Special:FilePath/BrianCoxTIFFSept2011.jpg,Scottish actor,"['actor', 'film actor', 'stage actor', 'television actor']",['acting'],56.46055555555556,-2.97
"George William, Elector of Brandenburg",12798,1.1110173447008423e-06,"https://en.wikipedia.org/wiki/George_William,_Elector_of_Brandenburg",1595,1640,https://commons.wikimedia.org/wiki/Special:FilePath/GeorgWilhelm.1635.Ausschnitt.JPG,"Elector and Margrave of Brandenburg, Duke of Prussia",['aristocrat'],[],54.70638888888889,20.511666666666667
Howard Carter,13616,1.1109521496563773e-06,https://en.wikipedia.org/wiki/Howard_Carter,1873,1939,https://commons.wikimedia.org/wiki/Special:FilePath/Howard carter.jpg,British egyptologist,"['anthropologist', 'archaeologist', 'egyptologist', 'necropolis scholar']","['Egyptology', 'archaeology', 'anthropology']",51.44027778,-0.243888889
Andrew Strauss,670087,1.1108873411764774e-06,https://en.wikipedia.org/wiki/Andrew_Strauss,1977,,https://commons.wikimedia.org/wiki/Special:FilePath/Andrew Strauss.JPG,English cricketer,"['cricketer', 'autobiographer']",[],-26.20436111,28.04163889
Bradley Cooper,365352,1.1108820214603833e-06,https://en.wikipedia.org/wiki/Bradley_Cooper,1975,,https://commons.wikimedia.org/wiki/Special:FilePath/BradleyCooperBFI240124 (9 of 15) (53485714469) (cropped).jpg,American actor,"['television actor', 'film producer', 'film actor', 'character actor', 'stage actor', 'film director', 'screenwriter', 'actor', 'singer']",[],39.95277778,-75.16361111
Gutzon Borglum,361180,1.1108266414377271e-06,https://en.wikipedia.org/wiki/Gutzon_Borglum,1867,1941,https://commons.wikimedia.org/wiki/Special:FilePath/Gutzon Borglum 1919.jpg,American sculptor (1867–1941),"['sculptor', 'painter']",['art of sculpture'],34.125499,-118.240807
Jeconiah,402544,1.1107624696526149e-06,https://en.wikipedia.org/wiki/Jeconiah,-616,-561,https://commons.wikimedia.org/wiki/Special:FilePath/Jehoiachin-Jeconiah.jpg,Nineteenth King of Judah,['ruler'],[],32.5425,44.42111111111111
Raoul Walsh,640920,1.1105657683168557e-06,https://en.wikipedia.org/wiki/Raoul_Walsh,1887,1980,https://commons.wikimedia.org/wiki/Special:FilePath/Raoul Walsh.jpg,American film director and actor (1887–1980),"['film director', 'actor', 'screenwriter', 'film actor', 'film producer', 'director']",[],34.270833,-118.739167
Christian Gottfried Daniel Nees von Esenbeck,707215,1.1102890722306697e-06,https://en.wikipedia.org/wiki/Christian_Gottfried_Daniel_Nees_von_Esenbeck,1776,1858,https://commons.wikimedia.org/wiki/Special:FilePath/Nees von esenbeck 1855.jpg,"German botanist, physician, zoologist, and natural philosopher (1776-1858)","['botanist', 'pteridologist', 'bryologist', 'university teacher', 'mycologist', 'entomologist', 'agrostologist', 'zoologist', 'physician']",['botany'],51.11,17.0325
William R. King,89133,1.1102574462665668e-06,https://en.wikipedia.org/wiki/William_R._King,1786,1853,https://commons.wikimedia.org/wiki/Special:FilePath/WilliamRufusKing.jpg,vice president of the United States from March to April 1853,"['politician', 'lawyer', 'diplomat']",[],32.4053001,-87.0327988
Dave Chappelle,339365,1.1101462912574934e-06,https://en.wikipedia.org/wiki/Dave_Chappelle,1973,,https://commons.wikimedia.org/wiki/Special:FilePath/Dave Chappelle (42791297960) (cropped).jpg,American comedian and actor (born 1973),"['comedian', 'street artist', 'screenwriter', 'television actor', 'film actor', 'journalist', 'film producer', 'television producer']",[],38.895,-77.03666667
Dan Gurney,554522,1.1101321397597822e-06,https://en.wikipedia.org/wiki/Dan_Gurney,1931,2018,https://commons.wikimedia.org/wiki/Special:FilePath/GurneyDan1965.jpg,"American racing driver, constructor and team owner","['Formula One driver', 'engineer', 'racing automobile driver']",[],33.61666667,-117.8975
Carl Edwards,45256375,1.1101145355821446e-06,https://en.wikipedia.org/wiki/Carl_Edwards,1979,,https://commons.wikimedia.org/wiki/Special:FilePath/Carl Edwards 2016 Citizen Soldier 400 (cropped).jpg,American racing driver,['racing automobile driver'],[],38.95171,-92.33407
"Wenzel Anton, Prince of Kaunitz-Rietberg",30941835,1.1101061280595428e-06,"https://en.wikipedia.org/wiki/Wenzel_Anton,_Prince_of_Kaunitz-Rietberg",1711,1794,https://commons.wikimedia.org/wiki/Special:FilePath/Wenzel Anton Graf von Kaunitz-Riethberg.jpg,Bohemian nobleman (1711-1794),"['politician', 'diplomat', 'collector']","['politics', 'diplomacy']",48.208333333333336,16.3725
Michael VII Doukas,74386,1.110011537217417e-06,https://en.wikipedia.org/wiki/Michael_VII_Doukas,1050,1090,https://commons.wikimedia.org/wiki/Special:FilePath/NomismaMikaelVIIDoukas.jpg,Byzantine emperor,"['cleric', 'monk']",[],41.0125,28.98
"John, King of Denmark",176317,1.1099579303411074e-06,"https://en.wikipedia.org/wiki/John,_King_of_Denmark",1455,1513,https://commons.wikimedia.org/wiki/Special:FilePath/Hans of Denmark.jpg,"king of Denmark, Norway and Sweden",['monarch'],[],55.3954,10.38898889
Howard Florey,40494,1.1098513863102927e-06,https://en.wikipedia.org/wiki/Howard_Florey,1898,1968,https://commons.wikimedia.org/wiki/Special:FilePath/Howard Walter Florey 1945.jpg,Australian pathologist (1898-1968),"['politician', 'pharmacist', 'chemist', 'physician', 'professor', 'pathologist', 'biologist']",[],51.75194444,-1.257777778
Renée Fleming,519013,1.1097837552533317e-06,https://en.wikipedia.org/wiki/Renée_Fleming,1959,,https://commons.wikimedia.org/wiki/Special:FilePath/Renée Fleming 3 Shankbone Metropolitan Opera 2009.jpg,American opera soprano,"['opera singer', 'musician']",[],40.6211,-79.155
Robert Filmer,706877,1.1097226644165132e-06,https://en.wikipedia.org/wiki/Robert_Filmer,1588,1653,https://commons.wikimedia.org/wiki/Special:FilePath/Robert Filmer Portrait.jpg,English writer,"['philosopher', 'writer']",[],51.2158,0.61583
Józef Poniatowski,450816,1.109673841443234e-06,https://en.wikipedia.org/wiki/Józef_Poniatowski,1763,1813,"https://commons.wikimedia.org/wiki/Special:FilePath/Prince Jozef Poniatowski, by Josef Grassi.jpg",nephew of King of Poland Stanislaus II; Marshal of France (1763-1813),"['military officer', 'military personnel']",[],50.05466944,19.93574167
Philippe Leclerc de Hauteclocque,810348,1.1096027533070413e-06,https://en.wikipedia.org/wiki/Philippe_Leclerc_de_Hauteclocque,1902,1947,https://commons.wikimedia.org/wiki/Special:FilePath/Général Leclerc.png,French general,['military personnel'],[],48.855522,2.312584
Rob Paulsen,668822,1.109424958975131e-06,https://en.wikipedia.org/wiki/Rob_Paulsen,1956,,https://commons.wikimedia.org/wiki/Special:FilePath/Rob Paulsen 2011 CC.jpg,American voice actor and voice director,"['podcaster', 'voice actor', 'comedian', 'television actor', 'dub director']",[],42.33166667,-83.0475
Norman McLaren,230264,1.1093762301220683e-06,https://en.wikipedia.org/wiki/Norman_McLaren,1914,1987,https://commons.wikimedia.org/wiki/Special:FilePath/Norman McLaren drawing on film - 1944.jpg,Scottish Canadian animator (1914-1987),"['film director', 'animator', 'screenwriter', 'cinematographer', 'director', 'producer']","['drawn-on-film animation', 'pixilation', 'experimental film', 'animation']",45.50888889,-73.56166667
Dannii Minogue,44929,1.109312988894827e-06,https://en.wikipedia.org/wiki/Dannii_Minogue,1971,,https://commons.wikimedia.org/wiki/Special:FilePath/Dannii Minogue arrives at the 58th Annual Logie Awards at Crown Palladium (26904220225) cropped.jpg,Australian singer and actress,"['singer', 'actor', 'presenter', 'fashion designer']",[],-37.81416667,144.96305555555554
Jack Paar,270737,1.1085127382610063e-06,https://en.wikipedia.org/wiki/Jack_Paar,1918,2004,https://commons.wikimedia.org/wiki/Special:FilePath/Jack Paar Up to Paar.jpg,"American author, radio and television comedian and talk show host (1918-2004)","['television presenter', 'journalist', 'game show host', 'actor', 'comedian', 'author', 'radio personality']",[],41.02649,-73.62846
Eadred,58521,1.108335838586944e-06,https://en.wikipedia.org/wiki/Eadred,923,955,https://commons.wikimedia.org/wiki/Special:FilePath/Eadred.jpg,King of England (r. 946–955),['monarch'],[],51.060722,-1.313333
Eazy-E,163169,1.1083180152320096e-06,https://en.wikipedia.org/wiki/Eazy-E,1964,1995,https://commons.wikimedia.org/wiki/Special:FilePath/Eazy E headshot.jpg,American rapper (1964–1995),"['rapper', 'record producer', 'entrepreneur', 'drug trafficker', 'con artist', 'chief executive officer']",[],37,-120
Kenny Everett,256550,1.1081518122755387e-06,https://en.wikipedia.org/wiki/Kenny_Everett,1944,1995,,British radio DJ and entertainer (1944–1995),"['radio personality', 'television presenter', 'disc jockey', 'actor', 'comedian']",[],51.50722222,-0.1275
Steve Cropper,730242,1.108080565383216e-06,https://en.wikipedia.org/wiki/Steve_Cropper,1941,,https://commons.wikimedia.org/wiki/Special:FilePath/Steve Cropper.JPG,"American guitarist, songwriter, and record producer","['record producer', 'guitarist', 'songwriter', 'actor']",[],36.7769,-92.2175
Lucien Tesnière,2782805,1.1078086269643936e-06,https://en.wikipedia.org/wiki/Lucien_Tesnière,1893,1954,https://commons.wikimedia.org/wiki/Special:FilePath/Lucien Tesnière 1954.jpg,French linguist (1893–1954),"['linguist', 'translator', 'interpreter', 'writer', 'grammarian', 'university teacher']","['Slavic studies', 'dependency grammar', 'language pedagogy']",43.61091944,3.877230556
Thespis,52585,1.1077462568477843e-06,https://en.wikipedia.org/wiki/Thespis,-600,-560,"https://commons.wikimedia.org/wiki/Special:FilePath/Formella 15, il carro di Tespi (Theatrica), nino pisano, 1334-1336.JPG",6th century BCE Greek actor and poet,"['poet', 'playwright', 'writer', 'stage actor']",[],38.1050635,23.8908555
Tommaso Salvadori,805868,1.1076833092558386e-06,https://en.wikipedia.org/wiki/Tommaso_Salvadori,1835,1923,https://commons.wikimedia.org/wiki/Special:FilePath/Salvadori Tommaso 1835-1923.jpg,Italian ornithologist,"['ornithologist', 'naturalist', 'aristocrat']",['ornithology'],45.079166666666666,7.676111111111111
Hedy Lamarr,170982,1.1076388670242434e-06,https://en.wikipedia.org/wiki/Hedy_Lamarr,1914,2000,https://commons.wikimedia.org/wiki/Special:FilePath/Hedy Lamarr Publicity Photo for The Heavenly Body 1944.jpg,Austrian-American actress and co-inventor of an early technique for spread spectrum communications and frequency hopping (1914-2000),"['actor', 'inventor', 'autobiographer', 'screenwriter', 'film actor', 'film producer', 'musician', 'model', 'entertainer']","['cinematography', 'Frequency-hopping spread spectrum', 'acting', 'discoveries and inventions']",48.15072,16.43808
Valery Gergiev,849630,1.1075942335362885e-06,https://en.wikipedia.org/wiki/Valery_Gergiev,1953,,https://commons.wikimedia.org/wiki/Special:FilePath/Valery Gergiev David Shankbone 2010.jpg,Russian conductor and opera company director,"['conductor', 'music director']",[],55.75583333,37.61777778
John Russell Pope,575710,1.1075843749290512e-06,https://en.wikipedia.org/wiki/John_Russell_Pope,1874,1937,https://commons.wikimedia.org/wiki/Special:FilePath/John Russell Pope cph.3b15402.jpg,American architect (1874–1937),['architect'],[],40.72833333,-73.99416667
Robert Nivelle,1300222,1.107567822303178e-06,https://en.wikipedia.org/wiki/Robert_Nivelle,1856,1924,https://commons.wikimedia.org/wiki/Special:FilePath/General nivelle.jpg,French General who participated in the First World War,['military personnel'],[],48.855522,2.312584
Anastacia,1016502,1.1075530667451118e-06,https://en.wikipedia.org/wiki/Anastacia,1968,,https://commons.wikimedia.org/wiki/Special:FilePath/Anastacia-4003.jpg,American singer,"['singer', 'singer-songwriter', 'author', 'manufacturer', 'dressmaker', 'philanthropist']",['music composing'],41.85003,-87.65005
Clara Bow,106000,1.1074627480680362e-06,https://en.wikipedia.org/wiki/Clara_Bow,1905,1965,https://commons.wikimedia.org/wiki/Special:FilePath/ClaraBow2.1.jpg,American actress (1905–1965),"['actor', 'film actor']",[],34.125499,-118.240807
Ruud van Nistelrooy,371475,1.107340656505705e-06,https://en.wikipedia.org/wiki/Ruud_van_Nistelrooy,1976,,https://commons.wikimedia.org/wiki/Special:FilePath/Ruud van Nistelrooy 2017.jpg,Dutch professional footballer and coach,"['association football player', 'association football manager']",[],51.76666667,5.516666667
Keith Ellison,5437748,1.1071401943597434e-06,https://en.wikipedia.org/wiki/Keith_Ellison,1963,,https://commons.wikimedia.org/wiki/Special:FilePath/Keith Ellison portrait (cropped).jpg,American politician (born 1963),"['politician', 'lawyer']",[],42.33166667,-83.0475
Samuel Garman,3466936,1.1071371209201062e-06,https://en.wikipedia.org/wiki/Samuel_Garman,1843,1927,https://commons.wikimedia.org/wiki/Special:FilePath/Garman Samuel 1843-1927.png,American zoologist (1843–1927),"['zoologist', 'ichthyologist', 'herpetologist']",['herpetology'],41.95861111111111,-70.66777778
Vasily II of Moscow,148190,1.1070525309246122e-06,https://en.wikipedia.org/wiki/Vasily_II_of_Moscow,1415,1462,https://commons.wikimedia.org/wiki/Special:FilePath/Titulyarnik - Vasily Vasiliyevich.jpg,Grand Prince of Moscow (1415-1462),['politician'],[],55.750277777777775,37.617777777777775
Bob Knight,4871,1.1068274671008824e-06,https://en.wikipedia.org/wiki/Bob_Knight,1940,2023,https://commons.wikimedia.org/wiki/Special:FilePath/TTU Bob Knight.jpg,American basketball coach (1940–2023),"['basketball coach', 'basketball player']",[],39.16222222,-86.52916667
Paul Robert Magocsi,16708011,1.106740723473162e-06,https://en.wikipedia.org/wiki/Paul_Robert_Magocsi,1945,,https://commons.wikimedia.org/wiki/Special:FilePath/Magocsi NTSh Toronto.JPG,American historian,['historian'],[],40.893343,-73.975801
"Prince Albert Victor, Duke of Clarence and Avondale",166344,1.10655719868769e-06,"https://en.wikipedia.org/wiki/Prince_Albert_Victor,_Duke_of_Clarence_and_Avondale",1864,1892,"https://commons.wikimedia.org/wiki/Special:FilePath/Prince Albert Victor, Duke of Clarence (1864-1892).jpg",British prince; eldest child of the future King Edward VII and Queen Alexandra (1864-1892),"['politician', 'aristocrat']",[],51.48361111111111,-0.606944444
Gerald J. Toomer,31073672,1.1064712497509446e-06,https://en.wikipedia.org/wiki/Gerald_J._Toomer,1934,,,British astronomy and mathematics historian (born 1934),"['mathematician', 'historian of mathematics', 'university teacher']",['history of science'],51.248333333333335,-0.761388889
Albert Montañés,3796005,1.1064465749119458e-06,https://en.wikipedia.org/wiki/Albert_Montañés,1980,,https://commons.wikimedia.org/wiki/Special:FilePath/Montanes Estoril Open 2009 1.jpg,Spanish tennis player,['tennis player'],[],40.620301,0.592744
Donald Keene,469859,1.1064407758456937e-06,https://en.wikipedia.org/wiki/Donald_Keene,1922,2019,https://commons.wikimedia.org/wiki/Special:FilePath/Donald Keene.jpg,Japanese/American academic (1922-2019),"['linguist', 'translator', 'writer', 'university teacher', 'historian', 'japanologist']","['Japanese studies', 'Japanese', 'Japanese literature']",35.683889,139.774444
Antony Green,948343,1.106423070321514e-06,https://en.wikipedia.org/wiki/Antony_Green,1960,,,Australian election analyst and commentator,"['political scientist', 'television presenter', 'journalist', 'psephologist']",[],53.38732,-2.60288
Peter Sneath,33081774,1.1063032887511778e-06,https://en.wikipedia.org/wiki/Peter_Sneath,1923,2011,,British microbiologist (1923-2011),"['botanist', 'microbiologist']",['microbiology'],54.6,-2
Johannes Thiele (zoologist),634365,1.106166498642377e-06,https://en.wikipedia.org/wiki/Johannes_Thiele_(zoologist),1860,1935,https://commons.wikimedia.org/wiki/Special:FilePath/Johannes Thiele.jpg,German zoologist and malacologist (1860–1935),"['curator', 'zoologist', 'malacologist', 'carcinologist', 'ichthyologist']","['malacology', 'zoology', 'ichthyology']",48.208333333333336,16.3725
Amedeo Avogadro,42009,1.1060251228790044e-06,https://en.wikipedia.org/wiki/Amedeo_Avogadro,1776,1856,https://commons.wikimedia.org/wiki/Special:FilePath/Amadeo Avogadro.png,Italian scientist,"['physicist', 'chemist', 'university teacher']",['Polus of Aegina'],45.079166666666666,7.676111111111111
Abdur Rahman Khan,2695,1.105905228428995e-06,https://en.wikipedia.org/wiki/Abdur_Rahman_Khan,1844,1901,https://commons.wikimedia.org/wiki/Special:FilePath/Painting of Abdur Rahman Khan.jpg,Emir of Afghanistan from 1880 to 1901,['politician'],[],34.53277778,69.16583333
Léo Ferré,455818,1.1058359238963384e-06,https://en.wikipedia.org/wiki/Léo_Ferré,1916,1993,https://commons.wikimedia.org/wiki/Special:FilePath/LeoFerre-Rome-1972.png,French-born Monégasque poet and singer,"['singer', 'poet', 'songwriter', 'composer', 'singer-songwriter', 'writer', 'radio personality', 'conductor', 'pianist']",['performing arts'],43.72926,7.41163
Juanes,991041,1.1055151456472126e-06,https://en.wikipedia.org/wiki/Juanes,1972,,"https://commons.wikimedia.org/wiki/Special:FilePath/2023-11-16 Gala de los Latin Grammy, 14 (cropped).jpg",Colombian musician (born 1972),"['singer', 'composer', 'guitarist', 'music arranger']",[],6.244747222,-75.57482778
Barthold Georg Niebuhr,204651,1.1054988402116442e-06,https://en.wikipedia.org/wiki/Barthold_Georg_Niebuhr,1776,1831,https://commons.wikimedia.org/wiki/Special:FilePath/Barthold Georg Niebuhr.jpg,Danish-German statesman and historian (1776–1831),"['historian', 'politician', 'diplomat', 'university teacher', 'economist', 'classical scholar', 'writer']",[],50.73569167,7.090694444
Antonio de Mendoza,1024444,1.1054752491638712e-06,https://en.wikipedia.org/wiki/Antonio_de_Mendoza,1490,1552,https://commons.wikimedia.org/wiki/Special:FilePath/AntonioMendoza.jpg,Spanish colonial administrator,"['diplomat', 'military officer', 'knight', 'politician', 'explorer']",[],-12.06,-77.0375
Kim Novak,261259,1.105435282214084e-06,https://en.wikipedia.org/wiki/Kim_Novak,1933,,https://commons.wikimedia.org/wiki/Special:FilePath/Kim Novak 01.jpg,American actress,"['film actor', 'painter', 'model', 'television actor', 'film producer']",[],41.85003,-87.65005
Brad Keselowski,2187357,1.1051696437974116e-06,https://en.wikipedia.org/wiki/Brad_Keselowski,1984,,https://commons.wikimedia.org/wiki/Special:FilePath/Brad Keselowski 2017 NASCAR Media Tour.jpg,American stock car racing driver,"['NASCAR team owner', 'racing automobile driver']",[],42.65805556,-83.14972222
Thomas à Kempis,43407,1.105101043209178e-06,https://en.wikipedia.org/wiki/Thomas_à_Kempis,1379,1471,https://commons.wikimedia.org/wiki/Special:FilePath/Thomas von Kempen JS.jpg,German canon regular,"['theologian', 'writer', 'philosopher', 'Catholic priest', 'poet']",['philosophy'],52.5,6.5
Dragut,30859109,1.1050411429641797e-06,https://en.wikipedia.org/wiki/Dragut,1485,1565,https://commons.wikimedia.org/wiki/Special:FilePath/Dragut Monument Palm Globe Istanbul.jpg,Ottoman admiral,"['privateer', 'military officer', 'pirate']",[],32.87519,13.18746
"William IV, Prince of Orange",176083,1.1050370883594237e-06,"https://en.wikipedia.org/wiki/William_IV,_Prince_of_Orange",1711,1751,https://commons.wikimedia.org/wiki/Special:FilePath/Guillaume IV d'Orange-Nassau.jpg,hereditary stadtholder of the Netherlands (1711-1751),['politician'],[],52.012139,4.360194
Ephorus,99446,1.1050304082474433e-06,https://en.wikipedia.org/wiki/Ephorus,-400,-330,,Greek historian (c. 400 – 330 BC),"['historian', 'writer']",['historian'],38.759166666666665,26.93638888888889
Michael Everson,584028,1.1049838010083325e-06,https://en.wikipedia.org/wiki/Michael_Everson,1963,,https://commons.wikimedia.org/wiki/Special:FilePath/Michael Everson - Wikimedia 2011 hackathon in Berlin 087.jpg,"American Irish linguist, typesetter and font designer, publisher","['linguist', 'type designer', 'publisher']",[],40.12,-75.3417
Terry McAuliffe,17878405,1.1049676604221009e-06,https://en.wikipedia.org/wiki/Terry_McAuliffe,1957,,https://commons.wikimedia.org/wiki/Special:FilePath/Terry McAuliffe 2020.jpg,American businessman and politician,"['lawyer', 'banker', 'politician', 'author']","['gun control', 'banking industry', 'real property', 'venture capital']",43.046899,-76.144423
James Gregory (mathematician),220425,1.1049589877843584e-06,https://en.wikipedia.org/wiki/James_Gregory_(mathematician),1638,1675,https://commons.wikimedia.org/wiki/Special:FilePath/James Gregory.jpg,Scottish mathematician and astronomer,"['mathematician', 'astronomer', 'inventor', 'university teacher', 'writer']","['mathematics', 'astronomy']",55.95333333333333,-3.189166667
