article_name,page_id,pagerank_score,wikipedia link,birth,death,image_url,description,occupation,field,latitude,longitude
Harold Lloyd,172671,2.168770083361825e-06,https://en.wikipedia.org/wiki/Harold_Lloyd,1893,1971,https://commons.wikimedia.org/wiki/Special:FilePath/Harold Lloyd in A Sailor-made Man.jpg,American actor and comedian (1893–1971),"['film actor', 'actor', 'film director', 'film producer', 'screenwriter', 'photographer', 'stunt performer', 'comedian', 'executive producer', 'writer', 'painter', 'producer']",[],34.125499,-118.240807
Tim Kaine,1461855,2.167302102771415e-06,https://en.wikipedia.org/wiki/Tim_Kaine,1958,,https://commons.wikimedia.org/wiki/Special:FilePath/Tim Kaine 116th official portrait.jpg,United States Senator from Virginia since 2013,"['politician', 'lawyer', 'missionary', 'university teacher', 'writer']",[],44.94416667,-93.09361111
The Undertaker,345792,2.1671902005177576e-06,https://en.wikipedia.org/wiki/The_Undertaker,1965,,https://commons.wikimedia.org/wiki/Special:FilePath/The Undertaker US Marine Visit 2019 (cropped)2.jpg,American professional wrestler,['professional wrestler'],[],29.76277778,-95.38305556
Ben Stiller,90095,2.1671091744677646e-06,https://en.wikipedia.org/wiki/Ben_Stiller,1965,,https://commons.wikimedia.org/wiki/Special:FilePath/Ben Stiller May 2019.jpg,American actor and comedian (born 1965),"['screenwriter', 'film producer', 'actor', 'television actor', 'film actor', 'film director', 'voice actor', 'writer', 'character actor', 'comedian', 'director', 'manufacturer', 'Trekkie']",[],40.7,-74
Edwin Stanton,375066,2.166912027808852e-06,https://en.wikipedia.org/wiki/Edwin_Stanton,1814,1869,"https://commons.wikimedia.org/wiki/Special:FilePath/Edwin M. Stanton, Secretary of War - NARA - 528682 (page 2) (3x4a).jpg",American lawyer and politician (1814–1869),"['lawyer', 'judge', 'politician', 'jurist']",['law and politics'],38.91275,-77.05594444
"Louis Philippe II, Duke of Orléans",279696,2.165737463213797e-06,"https://en.wikipedia.org/wiki/Louis_Philippe_II,_Duke_of_Orléans",1747,1793,"https://commons.wikimedia.org/wiki/Special:FilePath/Portrait of Louis Philippe d'Orléans, Duke of Orléans (known as Philippe Égalité) in ceremonial robes of the Order of the Holy Spirit by Antoine François Callet.jpg",French duke (1747-1793),"['politician', 'military personnel', 'admiral']",[],48.87361111,2.32277778
Dennis Hopper,8791,2.1649466120927818e-06,https://en.wikipedia.org/wiki/Dennis_Hopper,1936,2010,https://commons.wikimedia.org/wiki/Special:FilePath/Dennis Hopper Cannes 2008 (cropped).jpg,American actor and director (1936–2010),"['television actor', 'film actor', 'film director', 'actor', 'photographer', 'screenwriter', 'writer', 'painter', 'character actor', 'artist', 'visual artist', 'voice actor', 'sculptor', 'art collector', 'printmaker', 'director']",[],36.3603,-105.5985
"Philippe I, Duke of Orléans",394583,2.1645508807894564e-06,"https://en.wikipedia.org/wiki/Philippe_I,_Duke_of_Orléans",1640,1701,"https://commons.wikimedia.org/wiki/Special:FilePath/Portrait painting of Philippe of France, Duke of Orléans holding a crown of a child of France (Pierre Mignard, Musée des Beaux-Arts de Bordeaux).jpg",French prince (1640-1701),"['art collector', 'military personnel']",[],48.93555556,2.359722222
Lauren Bacall,261087,2.163365010536154e-06,https://en.wikipedia.org/wiki/Lauren_Bacall,1924,2014,"https://commons.wikimedia.org/wiki/Special:FilePath/Lauren Bacall by László Willinger, 1946.jpg",American actress and model (1924–2014),"['film actor', 'writer', 'model', 'spokesperson', 'stage actor', 'voice actor', 'television actor', 'singer', 'actor']",[],34.125499,-118.240807
Omar Bradley,166419,2.163188851934198e-06,https://en.wikipedia.org/wiki/Omar_Bradley,1893,1981,"https://commons.wikimedia.org/wiki/Special:FilePath/Omar Bradley, official military photo, 1949.JPEG",United States Army general (1893–1981),"['military officer', 'official']",[],38.87916666666667,-77.07222222
